office_name,website,domain,root_domain,koopaanbod_url,koopaanbod_url_quality,plaats,provincie,source_type,discovery_source,confidence,needs_review,review_reason,notes
Zoomer Nijp Taxatieburo B.V.,http://www.nijpmakelaars.nl,nijpmakelaars.nl,nijpmakelaars.nl,,missing,Altena,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url
Berkers Taxaties,https://www.berkerstaxaties.nl,berkerstaxaties.nl,berkerstaxaties.nl,,missing,Asten,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url
Beter Wonen makelaardij Helma de Corte,http://www.beterwonenmakelaardij.nl,beterwonenmakelaardij.nl,beterwonenmakelaardij.nl,http://www.beterwonenmakelaardij.nl/aanbod/woningaanbod/asten/koop/huis-10304094-Peelkesakker-38,valid,Asten,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=6, koop=5, huur=0"
Tulkens Makelaardij,http://www.tulkensmakelaardij.nl,tulkensmakelaardij.nl,tulkensmakelaardij.nl,http://www.tulkensmakelaardij.nl/aanbod/woningaanbod/koop,valid,Asten,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=202, koop=4, huur=1"
Van Houts Makelaardij,http://www.vanhoutsmakelaardij.nl,vanhoutsmakelaardij.nl,vanhoutsmakelaardij.nl,http://www.vanhoutsmakelaardij.nl/aanbod/woningaanbod/asten/koop/huis-10288622-Berkelaar-23,valid,Asten,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=4, koop=4, huur=0"
Makelaars- en Adviesburo Broeders,http://www.broedersmakelaardij.nl,broedersmakelaardij.nl,broedersmakelaardij.nl,http://www.broedersmakelaardij.nl/aanbod/woningaanbod/gilze/koop/huis-10225430-Nerhovensestraat-17,valid,Baarle Nassau,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=4, koop=5, huur=0"
Hennie Kunnen Makelaardij,,,,,missing,Bergeijk,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain
Met Ons Makelaars,https://www.metonsmakelaars.nl,metonsmakelaars.nl,metonsmakelaars.nl,https://www.metonsmakelaars.nl/aanbod,valid,Bergeijk,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=20, koop=1, huur=0"
Peter van den Oetelaar Lommers Makelaars,http://www.lommersmakelaars.nl,lommersmakelaars.nl,lommersmakelaars.nl,,missing,Bergeijk,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url
Wijman & Jansen ERA makelaars,https://www.wijmanjansen.nl,wijmanjansen.nl,wijmanjansen.nl,,missing,Bergeijk,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url
Baas Makelaars,http://www.baasmakelaars.nl,baasmakelaars.nl,baasmakelaars.nl,https://baasmakelaars.nl/wonen/nieuwbouw,valid,Bergen Op Zoom,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=16, koop=2, huur=0"
Brabant Makelaardij,http://www.brabantmakelaardij.nl,brabantmakelaardij.nl,brabantmakelaardij.nl,https://www.brabantmakelaardij.nl/huis-verkopen-bergen-op-zoom,suspect,Bergen Op Zoom,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: missing listing signal,mejor candidato sin verificar (score=1.58); suspect koopaanbod_url: missing listing signal
DE VIERWINDEN MAKELAARDIJ B.V.,http://www.devierwindenmakelaardij.nl,devierwindenmakelaardij.nl,devierwindenmakelaardij.nl,https://www.devierwindenmakelaardij.nl/property/holleweg-187-bergen-op-zoom-612,suspect,Bergen Op Zoom,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: missing listing signal,"prijzen=2, koop=3, huur=0; suspect koopaanbod_url: missing listing signal"
Grosfeld makelaardij,,,,,missing,Bergen Op Zoom,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain
Maes Makelaars,http://www.maesgroep.nl,maesgroep.nl,maesgroep.nl,https://www.maesmakelaars.nl/woningen/te-koop,valid,Bergen Op Zoom,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=12, koop=2, huur=0"
Viaons Makelaardij B.V.,http://www.viaons.nl,viaons.nl,viaons.nl,http://www.viaons.nl/aanbod/woningaanbod,valid,Bergen Op Zoom,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=208, koop=4, huur=2"
Vink Makelaardij,http://www.vinkmakelaardij.com,vinkmakelaardij.com,vinkmakelaardij.com,http://www.vinkmakelaardij.com/woningen/beschikbaar,valid,Bergen Op Zoom,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=13, koop=1, huur=0"
Den Otter Van Vliet,https://www.denottervanvliet.nl,denottervanvliet.nl,denottervanvliet.nl,https://denottervanvliet.nl/aan-en-verkoop,valid,Bernheze,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=1.58)
Jansen & Van Tuijl Makelaars o.g.,http://www.jansen-vantuijl.nl,jansen-vantuijl.nl,jansen-vantuijl.nl,http://www.jansen-vantuijl.nl/aanbod/woningaanbod/oss/koop/huis-8457399-Bernhardlaan-43,valid,Bernheze,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=7, koop=4, huur=1"
Ketelaars Van Zutphen Makelaardij,http://www.ketelaarsvanzutphen.nl,ketelaarsvanzutphen.nl,ketelaarsvanzutphen.nl,http://www.ketelaarsvanzutphen.nl/aanbod/woningaanbod/koop,valid,Bernheze,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=212, koop=4, huur=1"
KOMwonen,https://www.kom-wonen.nl,kom-wonen.nl,kom-wonen.nl,https://www.kom-wonen.nl/aanbod/woningaanbod/koop,valid,Bernheze,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=208, koop=4, huur=2"
Ed Willems Makelaardij,http://www.edwillems.nl,edwillems.nl,edwillems.nl,https://edwillems.nl/woningen,valid,Best,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=28, koop=1, huur=0"
M.G.M. Makelaardij B.V.,http://www.mgmmakelaardij.nl,mgmmakelaardij.nl,mgmmakelaardij.nl,https://www.mgmmakelaardij.nl/aanbod/koop,valid,Best,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=46, koop=2, huur=0"
Van den Berk & Kerkhof Makelaars en Taxateurs,http://www.berkkerkhof.nl,berkkerkhof.nl,berkkerkhof.nl,https://www.berkkerkhof.nl/actueel/ontdek-het-nieuwbouwproject,suspect,Best,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: missing listing signal,mejor candidato sin verificar (score=1.58); suspect koopaanbod_url: missing listing signal
Box Makelaardij,http://www.boxmakelaardij.nl,boxmakelaardij.nl,boxmakelaardij.nl,https://www.boxmakelaardij.nl/aanbod/tussenwoning-vezelstraat-15-reusel,valid,Bladel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=2, koop=3, huur=0"
Roijmans Makelaardij,http://www.roijmans.nl,roijmans.nl,roijmans.nl,http://www.roijmans.nl/bedrijfsmatig-aanbod/koop/bladel/hallenstraat/5-h0,valid,Bladel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=3, koop=4, huur=0"
Jonkers Makelaardij,https://www.jonkers-makelaardij.nl,jonkers-makelaardij.nl,jonkers-makelaardij.nl,https://www.jonkers-makelaardij.nl/aanbod/woningaanbod/koop,valid,Boekel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=132, koop=3, huur=0"
Makelaardij Christian,,,,,missing,Boxtel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain
Nuyens Makelaars,http://www.nuyensmakelaars.nl,nuyensmakelaars.nl,nuyensmakelaars.nl,,missing,Boxtel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url
Staete Makelaars Boxtel,https://www.staete.nl,staete.nl,staete.nl,https://www.staete.nl/aanbod/wonen/tOZUao2/laan-ten-habraken-2-5291-aj,valid,Boxtel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=6, koop=4, huur=0"
Tijn Maas Makelaardij,https://www.tm-makelaardij.nl,tm-makelaardij.nl,tm-makelaardij.nl,https://www.tm-makelaardij.nl/woningaanbod,valid,Boxtel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=15, sin senales huur"
Van der Ven Makelaardij,,,,,missing,Boxtel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain
Bastia Real Estate BV,https://www.bastiarealestate.com,bastiarealestate.com,bastiarealestate.com,https://bastiarealestate.com/woningaanbod/kwaadeindstraat-95-tilburg,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=1.52)
Bastiaansen van den Bemd Makelaars Taxateurs,https://www.b-vdb.nl,b-vdb.nl,b-vdb.nl,,missing,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url
Bink & Partners,http://www.binkenpartners.nl,binkenpartners.nl,binkenpartners.nl,https://binkenpartners.nl/huis-verkopen-breda,suspect,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: missing listing signal,mejor candidato sin verificar (score=1.58); suspect koopaanbod_url: missing listing signal
Crielaers Makelaardij & Taxaties,https://www.crielaersmakelaardij.nl,crielaersmakelaardij.nl,crielaersmakelaardij.nl,https://www.crielaersmakelaardij.nl/aanbod/woningaanbod/breda/koop/huis-10073758-Bernard-de-Wildestraat-600,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=8, koop=4, huur=1"
Egan Makelaardij B.V.,https://www.eganmakelaardij.nl,eganmakelaardij.nl,eganmakelaardij.nl,https://www.funda.nl/makelaars/breda/19403-egan-makelaardij-bv/woningaanbod/koop/heel-nederland,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=3.50)
ERA Focus Makelaars Breda B.V.,http://www.erafocus.nl,erafocus.nl,erafocus.nl,,missing,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url
Hendriks Makelaardij Breda,http://www.hendriks.nl,hendriks.nl,hendriks.nl,https://hendriks.nl/woningaanbod/koop/rijsbergsebaan-13-4836-mc-breda,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=3.50)
Hypodomus Makelaars Breda,http://www.hypodomus-breda.nl,hypodomus-breda.nl,hypodomus-breda.nl,http://www.hypodomus-breda.nl/aanbod/woningaanbod,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=132, koop=4, huur=2"
Ideale Makelaar,https://www.idealemakelaar.nl,idealemakelaar.nl,idealemakelaar.nl,https://www.idealemakelaar.nl/aanbod/koopwoningen,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=15, koop=2, huur=0"
Kern Makelaars Breda B.V.,http://www.kernmakelaars.nl,kernmakelaars.nl,kernmakelaars.nl,https://www.kernmakelaars.nl/aanbod/nu-in-verkoop,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=15, koop=2, huur=0"
KIN Makelaars Breda B.V.,http://www.kinmakelaars.nl,kinmakelaars.nl,kinmakelaars.nl,http://www.kinmakelaars.nl/aanbod/wonen/te-koop,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=10, koop=4, huur=3"
LUC Vastgoed Adviseurs,https://www.lucvastgoed.nl,lucvastgoed.nl,lucvastgoed.nl,https://www.lucvastgoed.nl/aanbod,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=11, koop=3, huur=2"
Makelaarshuys Johanna en Gijs,https://makelaarshuysjohanna.nl,makelaarshuysjohanna.nl,makelaarshuysjohanna.nl,https://makelaarshuysjohanna.nl/aanbod/woningaanbod,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=132, koop=4, huur=2"
Roga Makelaars B.V.,http://www.rogamakelaars.nl,rogamakelaars.nl,rogamakelaars.nl,,missing,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url
Steverink en Partners,http://www.steverink.nl,steverink.nl,steverink.nl,http://www.steverink.nl/binnenkort-in-verkoop,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=10, koop=1, huur=0"
Storimans en Partners,https://www.storimansenpartners.nl,storimansenpartners.nl,storimansenpartners.nl,,missing,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url
Taxatie 4u,,,,,missing,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain
Van Bragt Makelaars & Taxateurs,,,,,missing,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain
Van de Water Makelaars Breda,http://www.vandewatergroep.nl,vandewatergroep.nl,vandewatergroep.nl,https://vandewatergroep.nl/nieuwbouw/project/zevenbergen-markant-verkoop-gestart-schrijf-je-nu-in,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=324, sin senales huur"
Van der Sande Makelaars,http://www.vandersande.nl,vandersande.nl,vandersande.nl,http://www.vandersande.nl/wonen/binnenkort-in-de-verkoop,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=60, sin senales huur"
Bart Hut Makelaardij,http://www.barthutmakelaardij.nl,barthutmakelaardij.nl,barthutmakelaardij.nl,http://www.barthutmakelaardij.nl/aanbod/woningaanbod/maarheeze/koop/huis-10069812-Gagelstraat-14,valid,Cranendonck,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=6, koop=5, huur=0"
Cranendonck Makelaars,http://www.cranendonckmakelaars.nl,cranendonckmakelaars.nl,cranendonckmakelaars.nl,https://www.cranendonckmakelaars.nl/aanbod/twee-onder-een-kapwoning-willem-alexanderlaan-36-maarheeze,valid,Cranendonck,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=2.62)
Assurantie- en Makelaarskantoor Swinkels B.V.,http://www.makelaardijswinkels.nl,makelaardijswinkels.nl,makelaardijswinkels.nl,https://www.makelaardijswinkels.nl/makelaardij/aanbod,valid,Deurne,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=8, koop=3, huur=2"
Bakens Makelaardij,http://www.bakensmakelaardij.nl,bakensmakelaardij.nl,bakensmakelaardij.nl,http://www.bakensmakelaardij.nl/aanbod/woningaanbod/helmond/koop/huis-10309030-Prins-Karelstraat-89,valid,Deurne,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=5, koop=4, huur=1"
Door Martijn B.V.,http://www.door-martijn.nl,door-martijn.nl,door-martijn.nl,https://www.door-martijn.nl/ik-verkoop-een-huis,valid,Deurne,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=15, sin senales huur"
Hypodomus | Pieter Vriends,http://www.hypodomus-eindhoven.nl,hypodomus-eindhoven.nl,hypodomus-eindhoven.nl,,missing,Deurne,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url
NEO makelaars,https://www.neomakelaars.nl,neomakelaars.nl,neomakelaars.nl,,missing,Deurne,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url
Van Santvoort Makelaars b.v.,http://www.vansantvoort.nl,vansantvoort.nl,vansantvoort.nl,https://www.vansantvoort.nl/woningen-zoeken?type=koopwoningen,valid,Deurne,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=240, sin senales huur"
Kanters Makelaars B.V.,https://www.kanters.net,kanters.net,kanters.net,,missing,Dongen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url
KIN Makelaars Dongen,http://www.kinmakelaars.nl,kinmakelaars.nl,kinmakelaars.nl,http://www.kinmakelaars.nl/aanbod/wonen/te-koop,valid,Dongen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=10, koop=4, huur=3"
Van den Bosch Makelaars,http://www.vandenboschmakelaars.com,vandenboschmakelaars.com,vandenboschmakelaars.com,https://www.vandenboschmakelaars.com/diensten/verkoopmakelaar,suspect,Dongen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: contains excluded token 'diensten',mejor candidato sin verificar (score=1.58); suspect koopaanbod_url: contains excluded token 'diensten'
Biemans B.V.,http://www.biemansmakelaardij.nl,biemansmakelaardij.nl,biemansmakelaardij.nl,,missing,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url
"Biemans Made, Makelaardij o.z. en Hypotheken",http://www.biemansmade.nl,biemansmade.nl,biemansmade.nl,http://www.biemansmade.nl/nl/diensten/verkoop,suspect,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: contains excluded token 'diensten',"prijzen=3, koop=1, huur=0; suspect koopaanbod_url: contains excluded token 'diensten'"
Bogaers Makelaardij,http://www.bogaersmakelaardij.nl,bogaersmakelaardij.nl,bogaersmakelaardij.nl,,missing,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url
ERA Makelaardij Amerstreek,http://www.eramakelaardijamerstreek.nl,eramakelaardijamerstreek.nl,eramakelaardijamerstreek.nl,http://www.eramakelaardijamerstreek.nl/raamsdonksveer/era-makelaardij-amerstreek/verkoopmakelaar-raamsdonksveer,suspect,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: contains excluded token 'verkoopmakelaar',"prijzen=6, koop=1, huur=0; suspect koopaanbod_url: contains excluded token 'verkoopmakelaar'"
ERA makelaars Oosterhout,http://www.eraoosterhout.nl,eraoosterhout.nl,eraoosterhout.nl,http://www.eraoosterhout.nl/makelaar/oosterhout-nb/ijsvogelvlinder/era-makelaars-oosterhout/huizenaanbod,valid,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=0.72)
Ideale Makelaar,https://www.idealemakelaar.nl,idealemakelaar.nl,idealemakelaar.nl,https://www.idealemakelaar.nl/aanbod/koopwoningen,valid,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=15, koop=2, huur=0"
Klijsen Makelaars & Adviseurs,http://www.klijsen.nl,klijsen.nl,klijsen.nl,https://www.klijsen.nl/agrarisch-grond-te-koop-grond-kopen-in-noord-brabant,valid,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=1.94)
Marjoleine Rinsma Makelaardij,http://www.mrmakelaardij.nl,mrmakelaardij.nl,mrmakelaardij.nl,http://www.mrmakelaardij.nl/aanbod/woningaanbod?inclkoop=true&inclhuur=false,valid,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=126, koop=4, huur=0"
