office_name,website,root_domain,gemeente,final_status,final_aanbod_url,confidence,detection_method,homepage_status,homepage_title,candidates_found_count,candidates_tested_count,best_candidate_url,final_page_type,residential_signals_count,residential_signals_found,commercial_signals_count,commercial_signals_found,page_quality_reason,commercial_hard_block,commercial_block_reason,is_duplicate_audit_result,listing_signals_count,listing_signals_found,rejection_reason,elapsed_ms
Van Hoven & Oomen,https://www.vhno.nl,vhno.nl,Alphen-Chaam,valid,https://vhno.nl/aanbod,100,homepage_link,200,Home - Van Hoven & Oomen,7,1,https://vhno.nl/aanbod,listing_index,7,"woning,woningen,vrijstaand,tussenwoning,hoekwoning,woonoppervlakte,k.k.",0,,residential_listing_index,false,,false,10,"prijs,k.k.,koop,verkocht,woonoppervlakte,perceel,kamers,woning,vrijstaand,tussenwoning",,17471
Hofstede Bedrijfshuisvesting B.V.,https://www.hofstedebedrijfshuisvesting.nl,hofstedebedrijfshuisvesting.nl,Altena,rejected,,45,homepage_link,200,Homepage | Hofstede Makelaardij,17,1,https://hofstedebedrijfshuisvesting.nl/aanbod/aanbod.html,commercial_listing,5,"woning,huis,huizen,k.k.,vraagprijs",4,"bedrijfsaanbod,bedrijfshuisvesting,bedrijfsruimte,kantoorruimte",commercial_only,true,path:bedrijfshuisvesting,false,8,"prijs,vraagprijs,k.k.,koop,verkocht,perceel,adres,woning",commercial_only,35412
Hofstede Land van Heusden,https://www.hofstedelandvanheusden.nl,hofstedelandvanheusden.nl,Altena,valid,https://hofstedelandvanheusden.nl/aanbod,100,common_path,200,"Makelaar, taxateur & vastgoedadviseur in Land van Heusden",14,8,https://hofstedelandvanheusden.nl/aanbod,listing_index,9,"woning,woningen,appartement,huis,vrijstaand,tussenwoning,hoekwoning,woonoppervlakte,k.k.",0,,residential_listing_index,false,,false,12,"prijs,k.k.,koop,verkocht,onder bod,woonoppervlakte,perceel,kamers,woning,appartement,vrijstaand,tussenwoning",,48980
Hofstede Makelaardij Werkendam,http://www.hofstedemakelaardij.nl,hofstedemakelaardij.nl,Altena,valid,https://hofstedemakelaardij.nl/aanbod,100,common_path,200,"Makelaar, taxateur & vastgoedadviseur - Hofstede Makelaardij",7,1,https://hofstedemakelaardij.nl/aanbod,listing_index,9,"woning,woningen,appartement,huis,vrijstaand,tussenwoning,hoekwoning,woonoppervlakte,k.k.",0,,residential_listing_index,false,,false,12,"prijs,k.k.,koop,verkocht,onder bod,woonoppervlakte,perceel,kamers,woning,appartement,vrijstaand,tussenwoning",,16751
Kolpa OZP makelaars,http://www.kolpa-ozp.nl,kolpa-ozp.nl,Altena,suspect,https://kolpa.nl/vestigingen/dordrecht,73,common_path,200,Makelaar Dordrecht | Kolpa Makelaars & Taxateurs – Lokale Exp,7,1,https://kolpa.nl/vestigingen/dordrecht,project_page,2,"woning,woningen",0,,project_page,false,,false,4,"beschikbaar,adres,postcode,woning",project_page,36733
Merwelanden Vastgoed Associatie BV,http://www.merwelanden-makelaardij.nl,merwelanden-makelaardij.nl,Altena,missing,,0,failed,200,,7,7,,unknown,0,,0,,no_candidate_found,false,,false,0,,no_candidate_found,4247
Nouwen Makelaardij o.g. b.v.,http://www.nouwen.nl,nouwen.nl,Altena,suspect,https://nouwen.nl,86,homepage_link,200,Makelaar Dordrecht - NOUWEN Makelaardij,8,1,https://nouwen.nl,project_page,3,"woning,woningen,huis",0,,project_page,false,,false,4,"koop,verkocht,adres,woning",project_page,9361
Taxanja Taxaties,https://www.taxanja.nl,taxanja.nl,Altena,missing,,0,failed,200,Taxanja - HOME,7,7,,unknown,0,,0,,no_candidate_found,false,,false,0,,no_candidate_found,5266
Zoomer Nijp Taxatieburo B.V.,http://www.nijpmakelaars.nl,nijpmakelaars.nl,Altena,missing,,0,failed,200,Web Server's Default Page,7,7,,unknown,0,,0,,no_candidate_found,false,,false,0,,no_candidate_found,6401
Berkers Taxaties,https://www.berkerstaxaties.nl,berkerstaxaties.nl,Asten,missing,,0,failed,200,Professionele taxatie van uw woning - Berkers Taxaties,7,0,,unknown,0,,0,,no_candidate_found,false,,false,0,,no_candidate_found,2686
